Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
18,32,7.01,0.37,44.76
9,31,6.84,0.18,5.94
14,32,7.02,0.32,31.37
25,35,7.06,0.46,59.18
21,34,7.0,0.41,50.56
21,34,7.0,0.4,49.55
23,33,7.04,0.46,53.92
12,31,6.97,0.25,18.27
7,31,6.87,0.14,2.84
20,33,7.0,0.41,48.12
14,34,6.99,0.29,31.19
29,33,6.99,0.45,62.37
7,29,6.86,0.12,3.77
18,34,6.97,0.36,45.42
20,34,6.99,0.42,47.9
27,34,7.08,0.46,62.27
21,32,7.04,0.43,50.62
20,32,7.02,0.4,48.3
4,30,6.8,0.05,6.02
24,36,7.1,0.42,57.25
3,31,6.79,0.03,6.79
25,35,7.11,0.45,58.97
19,33,6.96,0.39,46.52
18,34,7.02,0.39,44.57
15,32,7.0,0.32,36.54
18,32,6.99,0.38,45.33
12,30,6.97,0.25,18.82
21,32,7.03,0.4,50.8
14,34,7.01,0.3,32.18
2,30,6.76,0.01,5.0
23,35,7.1,0.43,54.55
7,31,6.84,0.12,3.07
1,27,6.73,0.01,2.69
23,35,7.05,0.41,54.68
3,30,6.74,0.02,5.69
15,33,6.98,0.32,36.83
21,34,7.01,0.41,49.83
11,29,6.89,0.22,13.13
9,29,6.9,0.19,5.19
6,29,6.83,0.1,4.42
0,27,6.67,0.0,0.0
30,28,6.9,0.47,60.24
6,31,6.82,0.11,4.97
28,34,7.04,0.46,61.06
15,34,6.98,0.32,36.68
6,29,6.8,0.1,5.09
5,30,6.81,0.09,5.17
27,34,7.09,0.43,61.62
3,29,6.75,0.04,5.64
19,33,6.99,0.39,46.46
29,32,6.97,0.45,62.58
8,29,6.87,0.16,4.64
29,32,6.99,0.43,61.6
11,31,6.94,0.23,12.34
17,34,6.98,0.37,42.64
16,32,6.99,0.34,40.91
22,35,7.07,0.43,51.69
23,33,7.07,0.45,54.44
11,30,6.91,0.23,12.08
24,34,7.1,0.44,56.73
26,35,7.08,0.45,60.46
21,32,7.05,0.41,50.28
14,32,7.03,0.3,31.58
23,33,7.11,0.43,54.31
18,32,6.99,0.36,45.08
21,34,7.02,0.4,50.49
15,32,6.99,0.34,35.99
21,32,7.05,0.41,51.02
8,29,6.86,0.16,3.67
23,34,7.05,0.43,54.74
13,33,6.96,0.29,25.27
12,32,6.98,0.24,19.34
5,30,6.78,0.06,4.43
15,33,6.98,0.32,36.38
15,32,6.99,0.31,36.73
28,32,7.04,0.44,62.81
17,33,6.98,0.36,42.89
3,30,6.75,0.02,6.0
23,35,7.07,0.43,54.34
10,29,6.89,0.21,8.52
8,29,6.86,0.16,4.91
16,32,6.98,0.36,40.09
11,30,6.91,0.23,12.52
7,30,6.85,0.13,4.62
10,31,6.91,0.2,7.78
10,29,6.89,0.22,7.86
1,28,6.74,0.0,0.0
30,30,6.89,0.47,61.12
26,34,7.14,0.44,60.65
25,34,7.12,0.43,59.19
8,29,6.86,0.14,3.89
13,32,6.95,0.28,24.53
19,32,7.01,0.39,46.93
21,32,6.99,0.43,51.24
14,34,6.98,0.3,31.8
12,30,6.92,0.25,18.95
26,35,7.07,0.45,60.99
16,32,7.02,0.34,39.87
29,33,7.01,0.45,62.01
28,32,7.06,0.47,63.48
15,33,6.99,0.33,35.25
25,34,7.12,0.45,58.99
30,28,6.9,0.44,59.96
2,28,6.76,0.03,5.05
29,32,6.98,0.43,61.87
30,30,6.89,0.45,60.75
6,29,6.84,0.11,3.21
17,32,6.98,0.35,42.94
0,27,6.71,0.0,0.0
0,25,6.69,0.0,0.0
4,29,6.77,0.07,5.38
14,34,7.0,0.3,31.29
17,33,7.01,0.37,43.19
24,36,7.11,0.42,57.37
30,28,6.91,0.45,59.56
11,30,6.93,0.23,12.17
16,32,6.99,0.34,41.04
16,32,6.96,0.34,39.63
17,32,6.99,0.36,43.42
24,34,7.05,0.43,57.26
23,35,7.07,0.43,54.19
5,30,6.79,0.07,5.18
3,30,6.75,0.04,6.52
2,28,6.72,0.02,5.76
15,33,6.98,0.33,37.14
0,25,6.67,0.0,0.0
15,33,6.99,0.31,36.79
9,29,6.92,0.16,5.98
1,27,6.75,0.03,2.76
1,28,6.71,0.0,0.0
1,29,6.7,0.01,3.81
27,34,7.13,0.45,62.1
18,33,7.0,0.37,44.09
15,33,6.99,0.32,36.15
21,32,7.02,0.42,50.6
10,29,6.87,0.2,8.01
6,29,6.8,0.12,4.01
13,33,6.96,0.28,25.0
1,28,6.7,0.02,4.02
5,29,6.78,0.08,5.6
30,28,6.89,0.47,60.5
10,30,6.91,0.2,8.59
12,32,6.95,0.27,19.0
26,35,7.08,0.44,60.19
0,27,6.7,0.0,0.0
29,31,6.97,0.45,61.77
5,31,6.78,0.06,5.18
26,36,7.1,0.45,60.92
16,33,7.02,0.33,39.88
13,31,6.99,0.29,25.29
3,30,6.72,0.03,5.67
20,33,6.98,0.4,48.32
29,32,7.02,0.45,62.66
4,29,6.73,0.05,4.8
15,33,7.03,0.31,36.57
3,29,6.73,0.03,6.03
23,33,7.07,0.45,55.41
17,34,6.97,0.36,43.35
11,29,6.91,0.22,13.02
20,34,7.02,0.42,48.76
9,30,6.87,0.18,5.13
2,30,6.75,0.0,0.0
12,32,6.92,0.25,19.05
10,30,6.92,0.2,7.82
28,33,7.02,0.45,62.7
27,35,7.09,0.47,61.58
21,34,7.03,0.41,50.46
9,31,6.9,0.17,6.07
5,31,6.8,0.06,5.75
2,30,6.77,0.02,5.45
4,29,6.81,0.05,6.67
21,33,7.04,0.42,50.98
23,35,7.04,0.42,54.42
6,29,6.83,0.1,4.33
24,35,7.08,0.43,56.25
29,31,7.0,0.44,61.47
23,35,7.04,0.42,54.95
6,30,6.83,0.11,3.16
13,31,6.98,0.29,25.66
25,34,7.11,0.42,58.95
20,34,6.99,0.41,48.3
21,32,7.02,0.42,49.26
5,30,6.83,0.09,4.76
1,27,6.68,0.02,4.05
17,34,7.01,0.34,42.02
26,35,7.1,0.43,61.57
1,27,6.71,0.01,3.9
26,35,7.1,0.45,60.91
0,27,6.66,0.01,0.79
11,31,6.92,0.23,12.97
4,29,6.75,0.07,4.87
4,30,6.79,0.07,5.43
5,29,6.78,0.08,3.51
10,30,6.89,0.19,9.29
24,36,7.09,0.42,57.02
18,33,7.0,0.37,45.7
15,33,6.99,0.35,36.24
2,30,6.73,0.05,5.44
29,32,6.99,0.45,62.62
28,32,7.06,0.48,62.67
27,34,7.08,0.46,61.18
12,31,6.96,0.26,18.32
9,30,6.9,0.18,5.08
17,33,6.97,0.36,43.41
11,29,6.93,0.24,13.49
30,29,6.92,0.45,60.12
7,29,6.85,0.13,4.16
17,32,6.97,0.36,43.93
17,32,6.99,0.36,43.36
29,31,7.01,0.45,60.32
13,32,6.97,0.27,24.47
30,30,6.9,0.46,60.83
29,33,6.99,0.44,62.75
17,32,7.02,0.36,42.71
14,34,6.99,0.3,30.96
1,29,6.75,0.01,3.1
9,29,6.89,0.18,5.66
4,30,6.78,0.06,5.52
16,34,7.0,0.34,39.99
15,34,7.01,0.34,35.36
7,31,6.83,0.14,4.97
6,31,6.83,0.11,4.42
26,34,7.06,0.44,61.47
6,29,6.81,0.1,3.64
2,30,6.71,0.02,5.35
30,30,6.94,0.45,60.15
16,34,7.01,0.34,39.77
23,35,7.07,0.44,55.26
3,31,6.73,0.04,5.93
27,33,7.1,0.45,61.87
11,31,6.93,0.25,12.87
10,31,6.89,0.2,8.41
29,31,7.0,0.45,62.22
6,30,6.82,0.11,3.9
14,33,7.0,0.3,31.45
5,29,6.81,0.07,5.2
15,32,7.03,0.32,36.08
23,33,7.08,0.42,54.66
2,28,6.74,0.03,5.18
19,32,6.98,0.37,46.2
4,30,6.83,0.04,6.52
19,33,6.99,0.38,46.32
24,34,7.07,0.42,56.91
27,35,7.13,0.46,61.46
17,32,6.99,0.35,43.03
20,33,7.02,0.39,47.4
10,29,6.88,0.2,8.31
11,31,6.91,0.22,12.69
20,32,7.01,0.38,48.35
19,34,6.99,0.41,46.69
20,34,7.01,0.4,47.63
1,29,6.71,0.01,3.77
24,35,7.11,0.42,57.15
5,30,6.78,0.11,4.85
29,32,7.0,0.46,62.03
12,32,6.93,0.26,17.96
8,31,6.88,0.16,4.17
16,33,6.97,0.35,39.91
3,30,6.77,0.05,5.45
12,32,6.98,0.27,19.36
10,30,6.89,0.19,7.75
1,29,6.69,0.0,0.0
10,31,6.9,0.2,9.0
29,31,6.95,0.44,62.07
9,29,6.86,0.16,5.49
11,29,6.93,0.23,13.03
13,33,6.98,0.29,24.49
18,32,6.99,0.37,44.61
16,32,7.02,0.35,41.82
27,33,7.08,0.45,62.38
12,31,6.91,0.24,18.82
21,33,7.03,0.4,49.27
15,32,6.97,0.31,36.29
29,31,7.01,0.44,61.58
19,32,7.0,0.39,47.51
5,31,6.81,0.08,4.94
9,31,6.9,0.17,5.96
17,34,7.0,0.35,43.4
2,28,6.77,0.01,5.29
13,33,6.98,0.26,25.07
5,29,6.77,0.08,5.47
9,31,6.9,0.17,4.94
10,30,6.89,0.2,8.05
3,30,6.76,0.04,6.13
13,33,6.97,0.3,24.75
11,29,6.92,0.24,13.32
4,29,6.76,0.05,5.35
25,36,7.09,0.44,58.67
20,32,7.0,0.4,48.14
9,30,6.89,0.17,5.83
24,34,7.09,0.44,56.3
1,29,6.74,0.0,0.0
30,30,6.9,0.46,59.38
21,32,6.99,0.42,49.9
8,29,6.89,0.17,3.86
17,33,7.02,0.35,43.27
22,35,7.03,0.42,51.7
6,31,6.83,0.09,5.11
13,31,6.95,0.29,24.91
5,29,6.76,0.08,4.57
17,34,7.01,0.36,42.81
27,34,7.09,0.45,61.24
30,29,6.92,0.45,60.73
4,30,6.75,0.07,4.43
18,33,7.02,0.36,44.57
11,31,6.93,0.24,12.56
15,33,7.0,0.31,36.5
5,31,6.82,0.07,4.8
23,33,7.04,0.44,54.65
8,31,6.84,0.15,4.31
8,29,6.86,0.15,3.91
9,29,6.87,0.18,5.17
16,32,7.02,0.32,39.44
18,34,6.97,0.39,46.02
4,30,6.78,0.07,5.3
9,31,6.88,0.17,5.5
1,29,6.71,0.01,3.4
11,29,6.9,0.23,13.26
23,33,7.07,0.41,54.98
5,30,6.78,0.1,4.54
9,29,6.86,0.18,6.23
0,27,6.71,0.0,0.0
24,34,7.09,0.43,56.3
0,27,6.71,0.01,0.0
16,32,6.99,0.36,40.21
22,35,7.06,0.4,52.29
20,33,6.99,0.4,48.62
0,27,6.73,0.01,0.0
12,30,6.93,0.24,19.14
28,34,7.06,0.45,61.74
9,31,6.86,0.16,7.34
18,32,7.02,0.39,44.42
4,29,6.79,0.06,5.38
15,33,7.0,0.32,36.65
3,30,6.81,0.05,5.4
2,30,6.75,0.02,6.01
1,27,6.75,0.02,4.19
7,29,6.81,0.13,3.51
27,35,7.07,0.45,61.76
16,34,7.0,0.32,41.84
10,30,6.93,0.2,9.04
8,30,6.89,0.15,4.19
12,32,6.94,0.24,18.71
3,31,6.75,0.04,5.66
24,35,7.11,0.43,58.0
21,34,7.04,0.42,50.87
10,31,6.9,0.22,7.62
10,29,6.91,0.21,8.62
8,31,6.87,0.12,4.57
20,32,7.01,0.39,48.8
21,34,7.04,0.41,50.49
8,30,6.86,0.15,3.62
16,33,6.96,0.35,40.12
12,31,6.94,0.24,18.85
15,33,6.99,0.32,36.35
5,29,6.79,0.07,4.56
9,29,6.9,0.17,4.75
14,33,6.99,0.31,31.47
8,29,6.83,0.15,4.66
21,32,7.02,0.42,49.36
14,34,6.96,0.32,32.34
9,31,6.88,0.17,5.82
6,31,6.82,0.09,4.13
21,32,7.03,0.42,51.67
27,33,7.12,0.43,62.3
22,35,7.08,0.43,52.01
23,35,7.1,0.43,55.63
20,34,7.0,0.41,47.36
15,33,7.02,0.31,36.9
20,32,7.0,0.4,47.45
19,32,7.01,0.39,45.94
25,34,7.1,0.45,59.19
29,33,6.98,0.45,61.58
20,32,7.01,0.41,48.3
29,32,6.98,0.45,62.27
22,33,7.07,0.43,52.4
23,34,7.06,0.44,55.49
8,29,6.85,0.15,3.69
6,29,6.83,0.09,4.23
23,34,7.03,0.43,54.6
25,34,7.11,0.45,58.7
17,32,6.98,0.34,42.94
15,32,7.03,0.33,36.61
20,33,7.02,0.41,48.87
14,33,7.01,0.31,31.54
10,29,6.9,0.19,7.14
0,26,6.7,0.0,0.0
22,35,7.05,0.42,52.69
3,31,6.76,0.03,6.28
6,29,6.82,0.1,4.43
25,34,7.11,0.43,58.49
10,31,6.88,0.19,7.65
27,33,7.09,0.44,61.82
21,32,7.05,0.39,50.77
14,32,6.96,0.28,30.15
18,33,7.01,0.37,43.99
3,30,6.74,0.04,5.71
2,28,6.74,0.01,5.06
3,31,6.77,0.06,6.5
6,30,6.82,0.1,4.85
16,34,7.0,0.33,39.91
27,34,7.09,0.44,61.89
16,32,7.0,0.36,40.33
26,35,7.07,0.42,61.19
30,30,6.92,0.48,60.35
12,32,6.95,0.25,17.35
8,31,6.87,0.15,4.06
8,31,6.86,0.16,3.31
29,32,6.99,0.45,61.5
10,29,6.9,0.2,8.01
2,30,6.76,0.02,5.36
18,34,6.96,0.37,44.91
12,31,6.94,0.24,18.23
25,35,7.1,0.44,58.31
25,34,7.09,0.43,59.9
14,33,6.99,0.3,30.98
17,32,6.99,0.37,44.53
22,33,7.03,0.4,52.72
10,30,6.88,0.21,7.85
18,32,6.99,0.36,45.31
24,35,7.09,0.43,56.93
1,27,6.71,0.01,3.49
21,33,7.01,0.4,49.99
27,34,7.09,0.45,61.81
29,32,6.98,0.44,61.45
17,33,7.05,0.36,43.65
5,30,6.76,0.07,5.0
28,33,7.05,0.45,61.94
30,29,6.89,0.44,61.47
4,30,6.79,0.05,6.49
4,31,6.78,0.06,6.0
30,29,6.91,0.45,60.9
10,29,6.9,0.19,8.48
13,31,7.0,0.29,24.77
27,35,7.1,0.44,61.6
8,31,6.88,0.15,4.03
17,32,7.0,0.37,42.33
0,27,6.69,0.0,0.0
23,34,7.05,0.43,54.37
28,34,7.06,0.46,62.55
6,29,6.82,0.11,3.89
1,29,6.7,0.01,4.11
30,30,6.91,0.45,60.36
22,35,7.02,0.42,52.46
11,30,6.94,0.24,13.82
17,32,7.02,0.37,42.65
21,33,7.04,0.42,49.8
24,36,7.06,0.44,56.85
24,35,7.12,0.44,57.2
4,31,6.79,0.07,6.39
20,33,7.03,0.41,48.49
30,30,6.91,0.45,60.37
5,30,6.78,0.08,4.55
19,33,6.97,0.41,47.08
28,32,7.05,0.45,62.05
15,34,6.98,0.32,37.09
11,30,6.9,0.24,12.66
19,32,6.98,0.39,46.33
9,31,6.88,0.17,5.94
23,33,7.06,0.42,54.25
15,33,7.0,0.32,35.95
10,29,6.96,0.2,8.56
5,31,6.8,0.1,4.31
7,30,6.87,0.11,3.88
29,33,6.97,0.45,62.63
26,36,7.08,0.45,60.61
5,29,6.77,0.08,4.81
1,29,6.73,0.02,3.07
29,33,6.97,0.47,61.55
8,31,6.85,0.13,3.62
4,31,6.79,0.09,6.71
29,33,6.96,0.45,61.46
3,30,6.79,0.03,5.52
23,33,7.06,0.43,54.42
28,34,7.06,0.48,61.77
2,29,6.74,0.01,5.15
14,33,6.95,0.29,31.21
17,34,7.01,0.37,42.8
27,35,7.12,0.46,62.14
13,31,6.99,0.28,24.76
12,30,6.95,0.25,18.15
13,31,6.99,0.28,24.33
28,33,7.05,0.46,61.57
21,32,6.97,0.4,50.22
27,33,7.09,0.46,62.81
21,32,7.04,0.43,51.04
7,30,6.84,0.11,3.85
6,29,6.82,0.11,4.19
27,34,7.14,0.45,61.51
6,29,6.85,0.1,4.14
15,34,7.0,0.33,37.35
26,35,7.12,0.43,61.31
25,35,7.11,0.44,59.12
25,34,7.09,0.45,58.17
8,31,6.89,0.14,3.61
15,34,7.01,0.3,36.42
9,29,6.89,0.18,4.63
12,32,6.95,0.25,19.27
15,34,7.02,0.32,36.86
23,35,7.09,0.42,55.55
23,35,7.06,0.43,54.67
20,32,7.0,0.39,47.8
21,32,7.06,0.41,50.75
0,25,6.71,0.0,0.0
0,27,6.74,0.0,0.0
18,32,7.01,0.38,44.35
25,34,7.12,0.43,59.26
16,34,7.01,0.33,40.15
17,34,7.03,0.36,42.41
15,32,6.98,0.32,36.01
28,33,7.04,0.46,62.56
11,31,6.95,0.21,13.78
15,32,6.99,0.32,36.66
11,31,6.9,0.24,13.69
9,31,6.9,0.18,5.17
7,29,6.82,0.13,4.02
29,32,7.03,0.45,62.32
22,35,7.04,0.41,52.68
1,29,6.71,0.01,3.35
17,32,6.99,0.36,42.32
1,27,6.74,0.0,0.0
28,34,7.08,0.46,62.28
24,35,7.09,0.43,56.32
22,34,7.03,0.41,52.33
17,33,7.0,0.35,42.81
28,33,7.02,0.45,62.1
17,32,6.99,0.36,42.2
12,32,6.98,0.25,18.48
16,33,6.95,0.34,40.04
2,28,6.73,0.03,5.14
29,32,6.99,0.46,62.63
12,30,6.95,0.25,19.12
19,32,6.96,0.4,46.41
6,30,6.82,0.11,3.47
15,33,6.98,0.31,36.53
3,29,6.77,0.03,5.94
27,35,7.11,0.46,62.53
11,30,6.91,0.23,13.69
30,29,6.93,0.46,60.66
29,31,6.99,0.46,61.55
29,33,6.94,0.47,60.83
28,32,7.06,0.45,62.59
28,32,7.03,0.45,62.27
6,29,6.85,0.08,3.56
30,28,6.9,0.44,60.8
8,30,6.88,0.14,3.24
18,32,7.02,0.36,44.99
0,26,6.71,0.01,0.0
9,30,6.87,0.17,5.23
6,29,6.79,0.11,4.84
7,30,6.84,0.13,2.71
5,29,6.77,0.09,5.0
17,32,6.99,0.33,42.82
23,35,7.07,0.44,55.21
28,32,7.03,0.44,62.83
1,27,6.72,0.02,2.9
8,31,6.87,0.15,4.1
9,30,6.87,0.17,5.0
21,34,7.02,0.4,50.18
23,35,7.05,0.44,54.71
23,33,7.06,0.45,55.5
21,32,7.01,0.41,50.1
26,35,7.12,0.44,61.17
7,30,6.83,0.13,3.41
14,34,6.97,0.29,31.32
6,30,6.83,0.11,4.0
11,29,6.89,0.24,13.19
2,29,6.76,0.02,4.54
9,30,6.89,0.16,5.68
7,30,6.84,0.14,3.24
0,26,6.7,0.0,0.0
22,33,7.04,0.44,52.87
29,33,7.0,0.44,62.46
25,34,7.12,0.43,57.99
9,30,6.87,0.16,6.31
30,30,6.91,0.44,60.64
6,29,6.78,0.09,5.24
30,29,6.92,0.45,59.78
16,32,7.01,0.34,40.62
15,32,7.04,0.31,36.17
2,29,6.75,0.02,4.73
30,30,6.9,0.46,59.46
0,26,6.74,0.0,0.0
21,32,7.03,0.42,50.21
29,33,6.99,0.44,61.83
26,35,7.12,0.45,60.76
5,31,6.81,0.08,5.03
6,30,6.81,0.09,5.2
6,29,6.8,0.11,4.42
19,32,6.99,0.41,47.2
21,32,7.02,0.41,50.83
22,35,7.01,0.42,53.0
8,31,6.87,0.16,4.69
5,30,6.8,0.07,5.23
14,32,7.0,0.29,30.81
30,28,6.91,0.45,60.98
10,29,6.9,0.2,8.14
29,31,6.99,0.44,61.91
13,31,6.97,0.27,24.8
22,35,7.0,0.42,52.6
30,30,6.88,0.45,61.34
15,33,7.04,0.32,36.06
9,31,6.87,0.17,5.64
29,32,7.02,0.45,62.77
17,32,6.98,0.39,42.96
2,30,6.75,0.0,0.0
6,31,6.81,0.1,4.38
17,34,7.04,0.36,43.17
21,32,7.04,0.41,50.97
17,33,6.99,0.35,43.41
13,33,6.96,0.29,24.3
5,31,6.79,0.07,5.43
13,33,6.98,0.29,25.74
29,32,6.96,0.44,61.38
8,31,6.85,0.16,4.15
2,28,6.75,0.02,6.17
18,33,6.99,0.37,44.58
3,30,6.74,0.05,6.8
24,34,7.1,0.45,57.5
7,31,6.81,0.14,3.73
8,30,6.86,0.15,3.56
17,34,6.98,0.38,43.79
4,31,6.75,0.05,4.69
18,32,7.04,0.35,45.67
4,29,6.77,0.06,4.91
14,32,6.98,0.29,30.54
25,36,7.1,0.45,58.72
18,33,7.01,0.33,44.64
0,26,6.7,0.02,0.43
9,31,6.9,0.16,4.66
20,34,7.02,0.4,47.99
12,32,6.96,0.27,17.74
24,36,7.06,0.43,57.18
8,29,6.87,0.14,4.93
0,27,6.69,0.0,0.0
16,32,7.0,0.31,40.87
15,33,6.99,0.33,35.95
1,28,6.72,0.01,3.75
25,36,7.08,0.44,58.88
17,33,6.99,0.36,42.93
7,29,6.83,0.14,3.54
10,30,6.91,0.2,7.72
6,31,6.83,0.08,4.06
6,31,6.84,0.11,4.07
12,32,6.95,0.25,19.11
8,29,6.88,0.16,4.32
5,30,6.82,0.08,3.71
26,34,7.1,0.43,60.62
7,31,6.87,0.13,3.85
7,31,6.83,0.15,3.86
17,33,7.0,0.36,43.52
12,32,6.91,0.24,18.23
14,34,7.0,0.3,30.7
12,30,6.97,0.24,18.24
10,31,6.9,0.2,8.64
16,32,6.99,0.34,39.67
0,25,6.67,0.0,0.0
18,32,7.04,0.37,45.24
12,30,6.95,0.26,18.81
12,32,6.96,0.24,18.67
23,33,7.05,0.44,53.64
30,29,6.91,0.45,60.69
14,34,7.0,0.29,31.01
18,34,6.98,0.38,44.52
24,34,7.08,0.42,56.75
17,33,6.98,0.36,43.38
12,31,6.94,0.24,18.08
16,34,7.0,0.34,40.08
18,34,7.02,0.38,45.24
10,29,6.9,0.21,7.65
4,31,6.78,0.06,5.27
24,34,7.08,0.44,57.1
10,31,6.93,0.19,8.53
23,33,7.04,0.45,54.23
30,28,6.87,0.45,59.82
8,30,6.85,0.14,4.37
6,29,6.82,0.09,3.51
21,32,7.03,0.41,50.57
20,33,6.99,0.4,49.06
21,33,7.04,0.41,50.35
10,30,6.9,0.19,8.32
28,33,7.04,0.45,62.46
25,34,7.09,0.44,59.25
28,33,7.0,0.44,62.22
6,30,6.79,0.09,4.62
0,25,6.7,0.0,0.0
15,32,7.01,0.34,36.23
22,34,7.05,0.42,51.52
4,29,6.76,0.07,5.02
3,29,6.74,0.03,5.83
22,35,7.04,0.42,52.14
27,33,7.1,0.43,61.93
22,33,7.04,0.43,52.53
22,35,7.08,0.42,51.42
14,33,6.97,0.32,31.19
24,36,7.09,0.43,56.34
1,29,6.7,0.0,0.0
12,32,6.94,0.26,19.14
14,33,6.98,0.31,31.05
1,27,6.69,0.0,0.0
19,32,7.0,0.41,46.08
23,34,7.07,0.41,55.48
24,36,7.1,0.43,56.74
24,34,7.09,0.44,57.28
7,29,6.81,0.14,3.24
9,29,6.89,0.18,6.28
22,35,7.03,0.43,52.9
1,29,6.73,0.03,3.32
8,30,6.87,0.14,4.23
14,33,7.0,0.31,30.64
12,32,6.95,0.25,18.76
17,32,7.0,0.35,43.21
17,33,6.99,0.38,44.61
16,33,7.02,0.34,40.72
22,34,7.07,0.42,52.84
5,30,6.8,0.1,5.19
1,27,6.72,0.0,0.0
27,33,7.09,0.43,62.63
1,28,6.72,0.0,0.0
28,32,7.06,0.46,61.86
24,36,7.04,0.43,57.92
3,31,6.76,0.04,5.77
11,30,6.89,0.23,13.58
1,28,6.71,0.02,3.13
14,34,6.98,0.31,30.93
11,30,6.92,0.23,12.95
14,34,6.98,0.31,30.37
30,29,6.87,0.46,60.32
14,32,7.0,0.31,31.95
11,31,6.9,0.23,12.37
2,28,6.75,0.03,5.34
6,31,6.8,0.11,4.1
14,33,6.99,0.3,30.6
2,30,6.74,0.0,0.0
2,30,6.7,0.02,5.07
2,29,6.72,0.02,5.58
20,33,7.02,0.39,48.15
9,31,6.87,0.17,5.36
10,29,6.9,0.19,8.15
17,34,6.99,0.36,42.55
18,33,7.01,0.38,44.86
10,29,6.88,0.2,7.3
19,32,6.99,0.39,47.39
12,32,6.95,0.24,18.17
5,30,6.81,0.08,4.91
4,31,6.78,0.07,5.5
18,33,6.99,0.37,45.05
1,28,6.73,0.0,0.0
6,31,6.81,0.1,4.39
23,34,7.05,0.43,55.58
13,32,7.0,0.28,24.55
26,36,7.11,0.44,59.98
6,29,6.82,0.09,4.53
1,27,6.71,0.0,0.0
29,32,6.99,0.45,61.49
10,30,6.89,0.19,8.56
4,31,6.78,0.07,5.8
5,30,6.84,0.1,5.19
12,31,6.93,0.24,19.99
27,33,7.06,0.45,61.89
1,29,6.7,0.01,3.68
7,31,6.82,0.15,4.26
11,30,6.93,0.23,12.59
11,31,6.88,0.21,12.2
0,26,6.68,0.0,0.0
25,34,7.12,0.43,60.24
16,32,7.0,0.35,41.09
23,35,7.07,0.41,54.94
14,33,6.98,0.31,31.28
0,27,6.73,0.0,0.0
25,35,7.11,0.45,58.88
6,29,6.83,0.08,3.6
21,33,7.03,0.41,50.59
1,27,6.73,0.01,3.59
23,34,7.03,0.43,54.58
0,25,6.72,0.0,0.0
15,33,7.0,0.31,35.41
23,33,7.1,0.42,54.62
28,33,7.05,0.45,61.48
10,30,6.92,0.2,9.51
10,30,6.91,0.21,7.58
17,34,7.01,0.36,43.24
7,31,6.8,0.11,2.82
28,34,7.06,0.46,62.82
25,35,7.13,0.44,59.59
9,31,6.85,0.16,5.59
11,29,6.94,0.24,13.37
10,31,6.92,0.2,8.97
30,29,6.89,0.43,60.42
26,36,7.05,0.43,60.85
29,31,7.0,0.43,61.59
19,32,6.99,0.39,46.2
0,25,6.71,0.0,0.0
27,34,7.09,0.46,62.56
30,29,6.9,0.44,60.24
20,33,7.02,0.39,48.99
27,33,7.11,0.45,62.4
19,33,7.01,0.39,47.29
18,32,6.97,0.37,45.29
27,34,7.09,0.45,61.97
15,32,6.98,0.32,36.79
12,32,6.93,0.23,18.82
24,34,7.06,0.42,57.36
20,34,7.0,0.39,47.56
19,34,6.97,0.38,46.16
9,30,6.85,0.17,4.97
15,33,6.99,0.29,36.96
14,32,6.97,0.3,31.29
4,29,6.74,0.09,5.66
0,25,6.65,0.0,0.0
16,32,7.02,0.34,40.23
1,29,6.71,0.01,3.13
21,33,7.03,0.41,50.26
9,30,6.88,0.16,5.91
18,34,7.01,0.37,45.24
29,31,6.99,0.45,62.05
27,34,7.08,0.47,61.76
7,29,6.85,0.14,3.81
25,34,7.08,0.45,58.65
5,30,6.8,0.07,5.3
0,26,6.73,0.01,0.0
22,35,7.05,0.43,50.84
30,28,6.91,0.44,59.13
18,33,7.0,0.37,45.23
16,33,7.01,0.34,40.47
3,31,6.75,0.03,7.19
25,36,7.15,0.44,58.54
25,34,7.09,0.43,59.08
9,29,6.91,0.18,5.92
3,30,6.78,0.04,5.85
28,34,7.06,0.45,61.91
10,29,6.91,0.19,8.25
27,33,7.09,0.45,62.21
5,29,6.77,0.08,4.94
12,30,6.91,0.25,19.08
8,30,6.87,0.14,4.84
4,30,6.75,0.08,6.21
20,34,7.03,0.41,48.36
18,34,6.99,0.38,44.49
4,29,6.78,0.08,5.76
24,34,7.13,0.43,57.43
3,29,6.75,0.04,6.45
6,29,6.81,0.1,5.06
9,31,6.88,0.17,5.93
25,35,7.12,0.44,58.63
23,33,7.04,0.41,55.07
0,25,6.71,0.01,0.0
27,35,7.07,0.43,62.04
14,33,6.99,0.28,31.35
13,31,6.95,0.28,25.31
21,32,6.98,0.4,49.8
3,29,6.75,0.03,6.57
7,31,6.81,0.14,3.58
29,33,6.98,0.45,62.07
0,27,6.72,0.01,0.16
25,36,7.11,0.45,58.22
15,32,7.01,0.31,36.24
11,29,6.9,0.23,12.77
5,30,6.78,0.07,4.84
22,33,7.06,0.41,52.07
23,34,7.07,0.43,53.63
4,29,6.78,0.06,5.35
5,30,6.8,0.07,4.49
17,32,7.02,0.37,43.62
9,31,6.88,0.17,5.91
17,34,6.99,0.37,42.56
2,30,6.75,0.02,5.8
15,32,7.02,0.32,36.28
24,35,7.06,0.43,56.34
9,31,6.88,0.19,5.4
15,33,6.97,0.3,35.99
